source,target,value
40-60,"10,000,000-15,000,000",20
40-60,"15,000,000-20,000,000",10
40-60,"5,000,000-10,000,000",3
40-60,">20,000,000",13
60-80,"10,000,000-15,000,000",13
60-80,"15,000,000-20,000,000",8
60-80,"5,000,000-10,000,000",5
60-80,">20,000,000",15
<40,"10,000,000-15,000,000",5
<40,"15,000,000-20,000,000",3
<40,"5,000,000-10,000,000",1
<40,">20,000,000",2
>80,"10,000,000-15,000,000",1
>80,">20,000,000",1
Classical,60-80,3
Country,40-60,2
Country,60-80,1
Country,<40,5
Country,>80,1
Hip Hop,40-60,1
Hip Hop,60-80,1
Jazz,60-80,1
Pop,40-60,19
Pop,60-80,9
Pop,<40,4
Pop,>80,1
R&B,40-60,4
R&B,60-80,4
Rock,40-60,16
Rock,60-80,21
Rock,<40,2
World,40-60,4
World,60-80,1
