Genre,Album Length,Worldwide Sales (Est.),Row Number
Rock,40-60,"5,000,000-10,000,000",148
Rock,40-60,"5,000,000-10,000,000",149
Rock,40-60,"15,000,000-20,000,000",150
Hip Hop,60-80,"10,000,000-15,000,000",151
Rock,60-80,"10,000,000-15,000,000",152
Pop,40-60,"10,000,000-15,000,000",153
Pop,40-60,"10,000,000-15,000,000",154
Country,40-60,"5,000,000-10,000,000",155
Hip Hop,60-80,"5,000,000-10,000,000",156
Rock,40-60,"5,000,000-10,000,000",157
Hip Hop,60-80,"5,000,000-10,000,000",158
Pop,40-60,"5,000,000-10,000,000",159
R&B,<40,"15,000,000-20,000,000",160
Pop,40-60,"10,000,000-15,000,000",161
Pop,60-80,"5,000,000-10,000,000",162
Rock,60-80,"5,000,000-10,000,000",163
Pop,>80,"5,000,000-10,000,000",164
R&B,40-60,"5,000,000-10,000,000",165
Country,40-60,"5,000,000-10,000,000",166
Hip Hop,40-60,"5,000,000-10,000,000",167
Rock,40-60,"5,000,000-10,000,000",168
Rock,>80,"5,000,000-10,000,000",169
Pop,40-60,"10,000,000-15,000,000",170
Pop,40-60,"5,000,000-10,000,000",171
Pop,40-60,"5,000,000-10,000,000",172
Pop,40-60,"5,000,000-10,000,000",173
Rock,40-60,"5,000,000-10,000,000",174
Hip Hop,40-60,"5,000,000-10,000,000",175
R&B,40-60,"5,000,000-10,000,000",176
Country,>80,"5,000,000-10,000,000",177
Rock,>80,"5,000,000-10,000,000",178
Pop,40-60,"5,000,000-10,000,000",179
Pop,40-60,"10,000,000-15,000,000",180
Country,40-60,"10,000,000-15,000,000",181
Rock,40-60,"10,000,000-15,000,000",182
Rock,40-60,"5,000,000-10,000,000",183
Pop,60-80,"5,000,000-10,000,000",184
Rock,40-60,"5,000,000-10,000,000",185
Pop,40-60,"5,000,000-10,000,000",186
Rock,40-60,"5,000,000-10,000,000",187
Pop,40-60,"5,000,000-10,000,000",188
Pop,40-60,"5,000,000-10,000,000",189
Pop,40-60,"5,000,000-10,000,000",190
Pop,<40,"5,000,000-10,000,000",191
Rock,40-60,"5,000,000-10,000,000",192
Hip Hop,60-80,"5,000,000-10,000,000",193
Pop,40-60,"5,000,000-10,000,000",194
Pop,40-60,"5,000,000-10,000,000",195
Rock,40-60,"5,000,000-10,000,000",196
Rock,40-60,"<5,000,000",197
Classical,40-60,"<5,000,000",198
Pop,<40,"<5,000,000",199
Pop,40-60,"10,000,000-15,000,000",200
Pop,<40,"10,000,000-15,000,000",201
Hip Hop,60-80,"5,000,000-10,000,000",202
Country,60-80,"5,000,000-10,000,000",203
Pop,40-60,"5,000,000-10,000,000",204
Pop,<40,"5,000,000-10,000,000",205
Country,40-60,"<5,000,000",206
Country,40-60,"<5,000,000",207
Pop,40-60,"<5,000,000",208
Hip Hop,60-80,"<5,000,000",209
Pop,40-60,">20,000,000",210
Pop,40-60,"15,000,000-20,000,000",211
Pop,40-60,"5,000,000-10,000,000",212
Pop,60-80,"5,000,000-10,000,000",213
Hip Hop,>80,"5,000,000-10,000,000",214
Pop,40-60,"5,000,000-10,000,000",215
Hip Hop,40-60,"5,000,000-10,000,000",216
Hip Hop,60-80,"5,000,000-10,000,000",217
Pop,<40,"<5,000,000",218
Rock,40-60,"<5,000,000",219
Rock,40-60,"5,000,000-10,000,000",220
Pop,<40,"5,000,000-10,000,000",221
Pop,60-80,"5,000,000-10,000,000",222
Pop,40-60,"5,000,000-10,000,000",223
Rock,40-60,"5,000,000-10,000,000",224
Pop,40-60,"5,000,000-10,000,000",225
R&B,40-60,"<5,000,000",226
Rock,40-60,"<5,000,000",227
Pop,40-60,"<5,000,000",228
Pop,40-60,"<5,000,000",229
Pop,60-80,"10,000,000-15,000,000",230
Hip Hop,60-80,"5,000,000-10,000,000",231
Pop,40-60,"5,000,000-10,000,000",232
EDM,40-60,"5,000,000-10,000,000",233
Pop,40-60,"<5,000,000",234
Hip Hop,40-60,"<5,000,000",235
Pop,60-80,"<5,000,000",236
Country,40-60,"<5,000,000",237
Pop,<40,"<5,000,000",238
Pop,40-60,"<5,000,000",239
Pop,40-60,"10,000,000-15,000,000",240
Pop,40-60,"10,000,000-15,000,000",241
Pop,<40,"5,000,000-10,000,000",242
Blues,40-60,"<5,000,000",243
Pop,40-60,"<5,000,000",244
Rock,40-60,"<5,000,000",245
Pop,40-60,"<5,000,000",246
Hip Hop,60-80,"<5,000,000",247
Pop,40-60,"<5,000,000",248
Rock,40-60,"<5,000,000",249
Pop,40-60,">20,000,000",250
Pop,40-60,"10,000,000-15,000,000",251
Hip Hop,40-60,"5,000,000-10,000,000",252
Rock,40-60,"5,000,000-10,000,000",253
R&B,60-80,"5,000,000-10,000,000",254
Hip Hop,>80,"<5,000,000",255
Country,60-80,"<5,000,000",256
Pop,<40,"<5,000,000",257
Pop,40-60,"<5,000,000",258
Pop,<40,"<5,000,000",259
Hip Hop,>80,"5,000,000-10,000,000",260
Hip Hop,40-60,"5,000,000-10,000,000",261
R&B,60-80,"<5,000,000",262
Pop,40-60,"<5,000,000",263
Pop,<40,"<5,000,000",264
Pop,40-60,"<5,000,000",265
Pop,<40,"<5,000,000",266
Pop,40-60,"<5,000,000",267
Pop,40-60,"<5,000,000",268
Pop,60-80,"<5,000,000",269
Pop,40-60,"10,000,000-15,000,000",270
Pop,<40,"5,000,000-10,000,000",271
Pop,40-60,"5,000,000-10,000,000",272
Rock,<40,"<5,000,000",273
Hip Hop,40-60,"<5,000,000",274
R&B,40-60,"<5,000,000",275
Country,40-60,"<5,000,000",276
Rock,>80,"<5,000,000",277
R&B,40-60,"<5,000,000",278
Pop,<40,"<5,000,000",279
Hip Hop,60-80,"5,000,000-10,000,000",280
Hip Hop,>80,"5,000,000-10,000,000",281
Hip Hop,40-60,"<5,000,000",282
Pop,>80,"<5,000,000",283
Pop,60-80,"<5,000,000",284
Hip Hop,<40,"<5,000,000",285
Hip Hop,40-60,"<5,000,000",286
Hip Hop,40-60,"<5,000,000",287
Pop,40-60,"<5,000,000",288
Rock,60-80,"<5,000,000",289
Pop,40-60,"5,000,000-10,000,000",290
Hip Hop,40-60,"5,000,000-10,000,000",291
Pop,<40,"5,000,000-10,000,000",292
Pop,60-80,"<5,000,000",293
Pop,40-60,"<5,000,000",294
Pop,40-60,"<5,000,000",295
Country,40-60,"<5,000,000",296
Pop,>80,"<5,000,000",297
Pop,<40,"<5,000,000",298
Pop,40-60,"<5,000,000",299
Pop,60-80,"5,000,000-10,000,000",300
Pop,<40,"5,000,000-10,000,000",301
Hip Hop,40-60,"<5,000,000",302
R&B,40-60,"<5,000,000",303
Pop,60-80,"<5,000,000",304
Hip Hop,60-80,"<5,000,000",305
Pop,<40,"<5,000,000",306
Hip Hop,40-60,"<5,000,000",307
Pop,<40,"<5,000,000",308
Hip Hop,<40,"<5,000,000",309
Pop,40-60,"<5,000,000",310
Pop,<40,"<5,000,000",311
Pop,<40,"<5,000,000",312
Pop,<40,"<5,000,000",313
Country,>80,"<5,000,000",314
Hip Hop,<40,"<5,000,000",315
Pop,40-60,"<5,000,000",316
Pop,<40,"<5,000,000",317
Hip Hop,>80,"<5,000,000",318
Pop,40-60,"<5,000,000",319
