source,target,ranking,row,value
Hip Hop,60-80,1,100,1
Rock,60-80,2,101,1
Rock,<40,3,102,1
Pop,40-60,4,103,1
Pop,40-60,5,104,1
Pop,40-60,6,105,1
Rock,40-60,7,106,1
World,<40,8,107,1
Rock,40-60,9,108,1
Hip Hop,60-80,10,109,1
Rock,40-60,1,110,1
Pop,40-60,2,111,1
R&B,60-80,3,112,1
Pop,40-60,4,113,1
Rock,<40,5,114,1
Rock,<40,6,115,1
Rock,40-60,7,116,1
R&B,40-60,8,117,1
Pop,<40,9,118,1
Rock,60-80,10,119,1
Pop,40-60,1,120,1
Hip Hop,60-80,2,121,1
Rock,40-60,3,122,1
Rock,40-60,4,123,1
Rock,60-80,5,124,1
Hip Hop,60-80,6,125,1
Rock,40-60,7,126,1
Pop,60-80,8,127,1
Country,60-80,9,128,1
Pop,60-80,10,129,1
Rock,40-60,1,130,1
Hip Hop,40-60,2,131,1
Rock,<40,3,132,1
Pop,60-80,4,133,1
Rock,40-60,5,134,1
Pop,40-60,6,135,1
Hip Hop,40-60,7,136,1
Pop,60-80,8,137,1
R&B,40-60,9,138,1
Hip Hop,>80,10,139,1
R&B,60-80,1,140,1
Rock,40-60,2,141,1
Rock,60-80,3,142,1
Pop,<40,4,143,1
Pop,40-60,5,144,1
Rock,40-60,6,145,1
Rock,40-60,7,146,1
Hip Hop,60-80,8,147,1
Rock,40-60,9,148,1
Rock,40-60,10,149,1
Rock,40-60,1,150,1
Hip Hop,60-80,2,151,1
Rock,60-80,3,152,1
Pop,40-60,4,153,1
Pop,40-60,5,154,1
Country,40-60,6,155,1
Hip Hop,60-80,7,156,1
Rock,40-60,8,157,1
Hip Hop,60-80,9,158,1
Pop,40-60,10,159,1
R&B,<40,1,160,1
Pop,40-60,2,161,1
Pop,60-80,3,162,1
Rock,60-80,4,163,1
Pop,>80,5,164,1
R&B,40-60,6,165,1
Country,40-60,7,166,1
Hip Hop,40-60,8,167,1
Rock,40-60,9,168,1
