source,target,ranking,row,value
Rock,>80,10,169,1
Pop,40-60,1,170,1
Pop,40-60,2,171,1
Pop,40-60,3,172,1
Pop,40-60,4,173,1
Rock,40-60,5,174,1
Hip Hop,40-60,6,175,1
R&B,40-60,7,176,1
Country,>80,8,177,1
Rock,>80,9,178,1
Pop,40-60,10,179,1
Pop,40-60,1,180,1
Country,40-60,2,181,1
Rock,40-60,3,182,1
Rock,40-60,4,183,1
Pop,60-80,5,184,1
Rock,40-60,6,185,1
Pop,40-60,7,186,1
Rock,40-60,8,187,1
Pop,40-60,9,188,1
Pop,40-60,10,189,1
Pop,40-60,1,190,1
Pop,<40,2,191,1
Rock,40-60,3,192,1
Hip Hop,60-80,4,193,1
Pop,40-60,5,194,1
Pop,40-60,6,195,1
Rock,40-60,7,196,1
Rock,40-60,8,197,1
Classical,40-60,9,198,1
Pop,<40,10,199,1
60-80,>20,1,100,1
60-80,>20,2,101,1
<40,>20,3,102,1
40-60,>20,4,103,1
40-60,>20,5,104,1
40-60,10-15,6,105,1
40-60,10-15,7,106,1
<40,10-15,8,107,1
40-60,10-15,9,108,1
60-80,10-15,10,109,1
40-60,15-20,1,110,1
40-60,10-15,2,111,1
60-80,10-15,3,112,1
40-60,10-15,4,113,1
<40,5-10,5,114,1
<40,5-10,6,115,1
40-60,5-10,7,116,1
40-60,5-10,8,117,1
<40,5-10,9,118,1
60-80,5-10,10,119,1
40-60,>20,1,120,1
60-80,>20,2,121,1
40-60,15-20,3,122,1
40-60,10-15,4,123,1
60-80,10-15,5,124,1
60-80,10-15,6,125,1
40-60,10-15,7,126,1
60-80,10-15,8,127,1
60-80,5-10,9,128,1
60-80,5-10,10,129,1
40-60,15-20,1,130,1
40-60,10-15,2,131,1
<40,10-15,3,132,1
60-80,5-10,4,133,1
40-60,5-10,5,134,1
40-60,5-10,6,135,1
40-60,5-10,7,136,1
60-80,5-10,8,137,1
40-60,5-10,9,138,1
>80,5-10,10,139,1
60-80,>20,1,140,1
40-60,10-15,2,141,1
60-80,10-15,3,142,1
<40,10-15,4,143,1
40-60,10-15,5,144,1
40-60,10-15,6,145,1
40-60,5-10,7,146,1
60-80,5-10,8,147,1
40-60,5-10,9,148,1
40-60,5-10,10,149,1
40-60,15-20,1,150,1
60-80,10-15,2,151,1
60-80,10-15,3,152,1
40-60,10-15,4,153,1
40-60,10-15,5,154,1
40-60,5-10,6,155,1
60-80,5-10,7,156,1
40-60,5-10,8,157,1
60-80,5-10,9,158,1
40-60,5-10,10,159,1
<40,15-20,1,160,1
40-60,10-15,2,161,1
60-80,5-10,3,162,1
60-80,5-10,4,163,1
>80,5-10,5,164,1
40-60,5-10,6,165,1
40-60,5-10,7,166,1
40-60,5-10,8,167,1
40-60,5-10,9,168,1
>80,5-10,10,169,1
40-60,10-15,1,170,1
40-60,5-10,2,171,1
40-60,5-10,3,172,1
40-60,5-10,4,173,1
40-60,5-10,5,174,1
40-60,5-10,6,175,1
40-60,5-10,7,176,1
>80,5-10,8,177,1
>80,5-10,9,178,1
40-60,5-10,10,179,1
40-60,10-15,1,180,1
40-60,10-15,2,181,1
40-60,10-15,3,182,1
40-60,5-10,4,183,1
60-80,5-10,5,184,1
40-60,5-10,6,185,1
40-60,5-10,7,186,1
40-60,5-10,8,187,1
40-60,5-10,9,188,1
40-60,5-10,10,189,1
40-60,5-10,1,190,1
<40,5-10,2,191,1
40-60,5-10,3,192,1
60-80,5-10,4,193,1
40-60,5-10,5,194,1
40-60,5-10,6,195,1
40-60,5-10,7,196,1
40-60,<5,8,197,1
40-60,<5,9,198,1
<40,<5,10,199,1
