source,target,ranking,row,value
Pop,40-60,1,200,1
Pop,<40,2,201,1
Hip Hop,60-80,3,202,1
Country,60-80,4,203,1
Pop,40-60,5,204,1
Pop,<40,6,205,1
Country,40-60,7,206,1
Country,40-60,8,207,1
Pop,40-60,9,208,1
Hip Hop,60-80,10,209,1
Pop,40-60,1,210,1
Pop,40-60,2,211,1
Pop,40-60,3,212,1
Pop,60-80,4,213,1
Hip Hop,>80,5,214,1
Pop,40-60,6,215,1
Hip Hop,40-60,7,216,1
Hip Hop,60-80,8,217,1
Pop,<40,9,218,1
Rock,40-60,10,219,1
Rock,40-60,1,220,1
Pop,<40,2,221,1
Pop,60-80,3,222,1
Pop,40-60,4,223,1
Rock,40-60,5,224,1
Pop,40-60,6,225,1
R&B,40-60,7,226,1
Rock,40-60,8,227,1
Pop,40-60,9,228,1
Pop,40-60,10,229,1
Pop,60-80,1,230,1
Hip Hop,60-80,2,231,1
Pop,40-60,3,232,1
EDM,40-60,4,233,1
Pop,40-60,5,234,1
Hip Hop,40-60,6,235,1
Pop,60-80,7,236,1
Country,40-60,8,237,1
Pop,<40,9,238,1
Pop,40-60,10,239,1
Pop,40-60,1,240,1
Pop,40-60,2,241,1
Pop,<40,3,242,1
Blues,40-60,4,243,1
Pop,40-60,5,244,1
Rock,40-60,6,245,1
Pop,40-60,7,246,1
Hip Hop,60-80,8,247,1
Pop,40-60,9,248,1
Rock,40-60,10,249,1
Pop,40-60,1,250,1
Pop,40-60,2,251,1
Hip Hop,40-60,3,252,1
Rock,40-60,4,253,1
R&B,60-80,5,254,1
Hip Hop,>80,6,255,1
Country,60-80,7,256,1
Pop,<40,8,257,1
Pop,40-60,9,258,1
Pop,<40,10,259,1
Hip Hop,>80,1,260,1
Hip Hop,40-60,2,261,1
R&B,60-80,3,262,1
Pop,40-60,4,263,1
Pop,<40,5,264,1
Pop,40-60,6,265,1
Pop,<40,7,266,1
Pop,40-60,8,267,1
Pop,40-60,9,268,1
Pop,60-80,10,269,1
Pop,40-60,1,270,1
Pop,<40,2,271,1
Pop,40-60,3,272,1
Rock,<40,4,273,1
Hip Hop,40-60,5,274,1
R&B,40-60,6,275,1
Country,40-60,7,276,1
Rock,>80,8,277,1
R&B,40-60,9,278,1
Pop,<40,10,279,1
Hip Hop,60-80,1,280,1
Hip Hop,>80,2,281,1
Hip Hop,40-60,3,282,1
Pop,>80,4,283,1
Pop,60-80,5,284,1
Hip Hop,<40,6,285,1
Hip Hop,40-60,7,286,1
Hip Hop,40-60,8,287,1
Pop,40-60,9,288,1
Rock,60-80,10,289,1
Pop,40-60,1,290,1
Hip Hop,40-60,2,291,1
Pop,<40,3,292,1
Pop,60-80,4,293,1
Pop,40-60,5,294,1
Pop,40-60,6,295,1
Country,40-60,7,296,1
Pop,>80,8,297,1
Pop,<40,9,298,1
Pop,40-60,10,299,1
40-60,10-15,1,200,1
<40,10-15,2,201,1
60-80,5-10,3,202,1
60-80,5-10,4,203,1
40-60,5-10,5,204,1
<40,5-10,6,205,1
40-60,<5,7,206,1
40-60,<5,8,207,1
40-60,<5,9,208,1
60-80,<5,10,209,1
40-60,>20,1,210,1
40-60,15-20,2,211,1
40-60,5-10,3,212,1
60-80,5-10,4,213,1
>80,5-10,5,214,1
40-60,5-10,6,215,1
40-60,5-10,7,216,1
60-80,5-10,8,217,1
<40,<5,9,218,1
40-60,<5,10,219,1
40-60,5-10,1,220,1
<40,5-10,2,221,1
60-80,5-10,3,222,1
40-60,5-10,4,223,1
40-60,5-10,5,224,1
40-60,5-10,6,225,1
40-60,<5,7,226,1
40-60,<5,8,227,1
40-60,<5,9,228,1
40-60,<5,10,229,1
60-80,10-15,1,230,1
60-80,5-10,2,231,1
40-60,5-10,3,232,1
40-60,5-10,4,233,1
40-60,<5,5,234,1
40-60,<5,6,235,1
60-80,<5,7,236,1
40-60,<5,8,237,1
<40,<5,9,238,1
40-60,<5,10,239,1
40-60,10-15,1,240,1
40-60,10-15,2,241,1
<40,5-10,3,242,1
40-60,<5,4,243,1
40-60,<5,5,244,1
40-60,<5,6,245,1
40-60,<5,7,246,1
60-80,<5,8,247,1
40-60,<5,9,248,1
40-60,<5,10,249,1
40-60,>20,1,250,1
40-60,10-15,2,251,1
40-60,5-10,3,252,1
40-60,5-10,4,253,1
60-80,5-10,5,254,1
>80,<5,6,255,1
60-80,<5,7,256,1
<40,<5,8,257,1
40-60,<5,9,258,1
<40,<5,10,259,1
>80,5-10,1,260,1
40-60,5-10,2,261,1
60-80,<5,3,262,1
40-60,<5,4,263,1
<40,<5,5,264,1
40-60,<5,6,265,1
<40,<5,7,266,1
40-60,<5,8,267,1
40-60,<5,9,268,1
60-80,<5,10,269,1
40-60,10-15,1,270,1
<40,5-10,2,271,1
40-60,5-10,3,272,1
<40,<5,4,273,1
40-60,<5,5,274,1
40-60,<5,6,275,1
40-60,<5,7,276,1
>80,<5,8,277,1
40-60,<5,9,278,1
<40,<5,10,279,1
60-80,5-10,1,280,1
>80,5-10,2,281,1
40-60,<5,3,282,1
>80,<5,4,283,1
60-80,<5,5,284,1
<40,<5,6,285,1
40-60,<5,7,286,1
40-60,<5,8,287,1
40-60,<5,9,288,1
60-80,<5,10,289,1
40-60,5-10,1,290,1
40-60,5-10,2,291,1
<40,5-10,3,292,1
60-80,<5,4,293,1
40-60,<5,5,294,1
40-60,<5,6,295,1
40-60,<5,7,296,1
>80,<5,8,297,1
<40,<5,9,298,1
40-60,<5,10,299,1
